# color,number_of_stars,G_B,G_V,G_J,G_H,G_K,G_B_std,G_V_std,G_J_std,G_H_std,G_K_std,G_B_std_err,G_V_std_err,G_J_std_err,G_H_std_err,G_K_std_err
5.000000000000000000e-01,2.286000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.882510925319668460e-01,3.018486412178499889e-01,3.405861677251567077e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.429453779639613231e-02,1.325095140392649196e-01,1.317021067226707698e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.763036569392889118e-03,2.771462127332436839e-03,2.754575047068835800e-03
1.000000000000000000e+00,1.162700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.365709181775986991e-01,7.775390067575844721e-01,8.335445107869887682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.117448339646288091e-01,1.460778645298456135e-01,1.361032248936656919e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.036319376274304638e-03,1.354723221522438582e-03,1.262218611156299243e-03
1.500000000000000000e+00,5.806300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.273519097404676614e-01,1.200628267253420312e+00,1.272650052917103647e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.055669421379207412e-01,1.457765634039820957e-01,1.349334967979129440e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.381049965693924165e-04,6.049757577193122082e-04,5.599768067025504698e-04
2.000000000000000000e+00,3.475500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.197702055480939443e+00,1.593688500862192825e+00,1.705082490553599950e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.505961018743869895e-01,2.083587286144153450e-01,1.385708010400631129e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.078022975061145130e-04,1.117642871132004494e-03,7.432981999812557144e-04
2.500000000000000000e+00,7.218000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.440533942613419383e+00,1.892699221687390798e+00,2.166759214364250230e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.286625034715422444e-01,5.348697285044805572e-01,1.280541995613820594e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.868492152072050983e-03,6.295635569147459143e-03,1.507250327647941457e-03
3.000000000000000000e+00,4.860000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.731065821745758626e+00,2.291244844350304621e+00,2.593874467253194371e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.449433792907389829e-01,5.708464617885763426e-01,6.352918710826530035e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.564694943358578560e-02,2.589412134917013289e-02,2.881742447945354925e-03
