# color,number_of_stars,G_B,G_V,G_J,G_H,G_K,G_B_std,G_V_std,G_J_std,G_H_std,G_K_std,G_B_std_err,G_V_std_err,G_J_std_err,G_H_std_err,G_K_std_err
-5.000000000000000000e-01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.429750204086303711e+00,-1.560250520706176758e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.574161295871826072e-01,3.824313758564212851e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.287080647935913036e-01,1.912156879282106425e-01
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.194999694824218750e-01,-3.804998397827148438e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.194999694824218750e-01,1.049995422363281250e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.259205950099154869e-01,7.424588833679092101e-03
5.000000000000000000e-01,2.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.890096480386298849e-01,3.054315765698750740e-01,3.445535005184642285e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.309655894420842071e-02,1.030231308376559352e-01,1.016053477168973318e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.740265923968646990e-03,2.157582049789944206e-03,2.127889849727957264e-03
1.000000000000000000e+00,1.162700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.365709181775986991e-01,7.775390067575844721e-01,8.335445107869887682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.117448339646288091e-01,1.460778645298456135e-01,1.361032248936656919e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.036319376274304638e-03,1.354723221522438582e-03,1.262218611156299243e-03
1.500000000000000000e+00,5.806300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.273519097404676614e-01,1.200628267253420312e+00,1.272650052917103647e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.055669421379207412e-01,1.457765634039820957e-01,1.349334967979129440e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.381049965693924165e-04,6.049757577193122082e-04,5.599768067025504698e-04
2.000000000000000000e+00,3.475500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.197702055480939443e+00,1.593688500862192825e+00,1.705082490553599950e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.505961018743869895e-01,2.083587286144153450e-01,1.385708010400631129e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.078022975061145130e-04,1.117642871132004494e-03,7.432981999812557144e-04
2.500000000000000000e+00,7.218000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.440533942613419383e+00,1.892699221687390798e+00,2.166759214364250230e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.286625034715422444e-01,5.348697285044805572e-01,1.280541995613820594e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.868492152072050983e-03,6.295635569147459143e-03,1.507250327647941457e-03
3.000000000000000000e+00,4.860000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.731065821745758626e+00,2.291244844350304621e+00,2.593874467253194371e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.449433792907389829e-01,5.708464617885763426e-01,6.352918710826530035e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.564694943358578560e-02,2.589412134917013289e-02,2.881742447945354925e-03
3.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.503331820170084265e-01,1.797333240509033203e+00,3.235999902089436997e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.782886498323945412e-01,1.296186561479275579e+00,8.580220889121270567e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.493451614879633849e-01,7.483536601900352414e-01,4.953792840040616152e-02
