# color,number_of_stars,G_B,G_V,G_J,G_H,G_K,G_B_std,G_V_std,G_J_std,G_H_std,G_K_std,G_B_std_err,G_V_std_err,G_J_std_err,G_H_std_err,G_K_std_err
1.000000000000000056e-01,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.907144410269600410e-02,-3.603571823665073781e-01,-4.649286610739571945e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020125760592879904e-01,8.746642037594074548e-01,7.382465868153675892e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.399013195953340088e-02,2.337638413530810644e-01,1.973046996298835620e-01
2.000000000000000111e-01,2.350000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.702340673893056044e-01,1.402212670508851400e-01,1.663276733236110083e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.034304316833068629e-02,4.083057661269731686e-02,2.442826244241892361e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.979361888057457226e-03,2.663493136342178283e-03,1.593524136710690970e-03
3.000000000000000444e-01,5.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.190387581670006911e-01,2.172829541125038677e-01,2.532228628794352399e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.237268442701812299e-02,3.976995187778019358e-02,2.837763264100069335e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.865353420360887525e-03,1.750774508765900800e-03,1.249255618907233302e-03
4.000000000000000222e-01,7.190000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.911196026914806279e-01,3.088122382449175474e-01,3.518609072137442451e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.280326923403433848e-02,4.460851486739608740e-02,2.916121106001180394e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.596292582800645007e-03,1.663616884570970214e-03,1.087529661953195439e-03
5.000000000000000000e-01,8.020000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.682680772129734437e-01,4.089339064838286020e-01,4.518092118593819984e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.698756928605241079e-02,4.452900194715318782e-02,2.919394305117688215e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.659188752365002356e-03,1.572373721546959941e-03,1.030873966959497791e-03
5.999999999999999778e-01,9.940000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.367797062910298567e-01,5.021056404535919615e-01,5.504275697097932296e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.734803227028395511e-02,5.122477449678996403e-02,2.894887532087699403e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.818969130430277397e-03,1.624751187342730755e-03,9.182025692036776968e-04
7.000000000000000666e-01,1.298000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.122488577303423440e-01,5.993274441118049412e-01,6.532057121464944771e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.431147384719442472e-02,5.898615883364683593e-02,2.876013459113113332e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.507489313526423234e-03,1.637241595355605310e-03,7.982769105786555533e-04
8.000000000000000444e-01,1.686000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.794673927596738494e-01,6.969590797967333273e-01,7.530824484774226724e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.608817014542432700e-02,6.712862168167584020e-02,2.810145370396823633e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.609514679910102218e-03,1.634853889902554555e-03,6.843842425024762284e-04
9.000000000000000222e-01,2.754000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.539455284307031935e-01,7.994469801584879187e-01,8.548562036706818246e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.578516538142934411e-02,6.278259508877634398e-02,2.897906475848804550e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.063008548317332996e-03,1.196347358811129628e-03,5.522076227593154503e-04
1.000000000000000000e+00,4.895000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.200008193611245888e-01,8.961544454767462753e-01,9.545791655200495107e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.706046092636208655e-02,7.111576093765026307e-02,2.882020330201986655e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.584957379158697563e-04,1.016458175440093257e-03,4.119274107165531358e-04
